Church Name,City,State,Size,Denomination
Northland A Church Distributed,Longwood,FL,12000,"Independent, Nondenominational"
Oasis Church,Pembroke Pines,FL,2200,Southern Baptist Convention
Olive Baptist Church,Pensacola,FL,3137,Southern Baptist Convention
Potential Church,Cooper City,FL,12000,Southern Baptist Convention
Potter’s House Christian Fellowship,Jacksonville,FL,3000,Unknown (unspecified)
Primeira Igreja Batista Brasileira,Pompano Beach,FL,2000,Baptist (unspecified)
Real Life Christian Church,Clermont,FL,4762,CHRISTIAN
Revealing Truth Ministries,Tampa,FL,2500,"Independent, Nondenominational"
Saint Marks Episcopal Church,Jacksonville,FL,2500,Episcopal
Shiloh Metropolitan Baptist Church,Jacksonville,FL,6000,Baptist (unspecified)
South Biscayne Baptist Church,North Port,FL,2000,Southern Baptist Convention
South Florida Church of Christ,Davie,FL,2000,Church of Christ
Spanish River Church,Boca Raton,FL,2000,"Independent, Nondenominational"
Summit Church,Orlando,FL,4300,"Independent, Nondenominational"
Summit Church,Estero,FL,1800,Unknown (unspecified)
Sweet Home Missionary Baptist,Miami,FL,2000,Missionary Baptist
The Church Group Worldwide,Jacksonville,FL,3400,"Independent, Nondenominational"
The Crossing Church,Tampa,FL,5000,Unknown (unspecified)
The Faith Center Ministries,Sunrise,FL,8000,"Independent, Nondenominational"
The Family Church,Gainesville,FL,2000,"Independent, Nondenominational"
The Pentecostals of Cooper City,Cooper City,FL,2000,"Independent, Nondenominational"
King Jesus International Ministry,Miami,FL,16800,"Independent, Nondenominational"
Tomoka Christian Church,Ormond Beach,FL,2296,CHRISTIAN
Trinity Baptist Church,Jacksonville,FL,1800,Baptist (unspecified)
Trinity Church International,Lake Worth,FL,4012,Assemblies of God
Trinity Church,Miami,FL,3500,Assemblies of God
Christ Journey Church,Coral Gables,FL,2100,Baptist General Conference
Van Dyke United Methodist Church,Lutz,FL,2143,United Methodist Church
Celebration Church,Jacksonville,FL,3745,Unknown (unspecified)
Christ Church United Methodist Church,Fort Lauderdale,FL,1800,United Methodist Church
Saint Lukes United Methodist Church,Orlando,FL,1967,United Methodist Church
Christ Episcopal Church,Ponte Vedra Beach,FL,2000,Episcopal
Christ Fellowship,Palmetto Bay,FL,8098,Southern Baptist Convention
Christ Fellowship Church,Palm Beach Gardens,FL,25000,"Independent, Nondenominational"
Christ Life Center,Miami,FL,4000,Reformed Church in America
Christ the Rock Community Church,Copper City,FL,2000,"Independent, Nondenominational"
Christian Heritage Church,Tallahassee,FL,3000,"Independent, Nondenominational"
Christ’s Church,Jacksonville,FL,4904,CHRISTIAN
Church at the Springs,Ocala,FL,3000,Southern Baptist Convention
Church by the Glades,Coral Springs,FL,9000,Southern Baptist Convention
Church in the Son,Orlando,FL,2200,"Independent, Nondenominational"
Church of All Nations,Boca Raton,FL,2640,Assemblies of God
City of Life Church,Kissimmee,FL,2000,"Independent, Nondenominational"
Community Christian Church,Ft. Lauderdale,FL,1971,CHRISTIAN
Coral Ridge Presbyterian Church,Fort Lauderdale,FL,1900,Presbyterian Church of America
Countryside Christian Center,Clearwater,FL,2000,"Independent, Nondenominational"
Cristo Mi Redentor,West Palm Beach,FL,3000,Pentecostal (unspecified)
Discovery Church,Orlando,FL,4500,"Independent, Nondenominational"
East Brent Baptist Church,Pensacola,FL,2500,Southern Baptist Convention
Faith Assembly of God,Orlando,FL,4000,Assemblies of God
Faith Christian Center,Jacksonville,FL,2200,Unknown (unspecified)
Faithworld,Orlando,FL,5000,"Independent, Nondenominational"
Family Worship Center,Lakeland,FL,2600,Pentecostal (unspecified)
First Assembly of God,Fort Myers,FL,7426,Assemblies of God
First Baptist Church at the Mall,Lakeland,FL,3200,Southern Baptist Convention
First Baptist Church of Central Florida,Orlando,FL,4000,Southern Baptist Convention
First Baptist Church of Indian Rocks,Largo,FL,2908,Southern Baptist Convention
First Baptist Church of Mandarin,Jacksonville,FL,2000,Southern Baptist Convention
First Baptist Church of Melbourne,Melbourne,FL,2500,Southern Baptist Convention
First Baptist Church of Orlando,Orlando,FL,5587,Southern Baptist Convention
First Baptist Church of Oviedo,Oviedo,FL,2461,Southern Baptist Convention
First Baptist Church,Daytona Beach,FL,1900,Southern Baptist Convention
First Baptist Church,Panama City,FL,2000,Southern Baptist Convention
First Baptist Church,Fort Lauderdale,FL,2200,Southern Baptist Convention
First Baptist Church,Brandon,FL,2750,Southern Baptist Convention
First Baptist Church,Plant City,FL,3000,Southern Baptist Convention
First Baptist Church,Naples,FL,3523,Southern Baptist Convention
First Baptist Church,Jacksonville,FL,4300,Southern Baptist Convention
First Presbyterian Church of Orlando,Orlando,FL,2400,"Presbyterian Church, U.S.A."
First United Methodist Church,Niceville,FL,2030,United Methodist Church
Generations Christian Church,Trinity,FL,2252,CHRISTIAN
Grace Church,Cape Coral,FL,2750,United Methodist Church
Elizabeth Baptist Church,Atlanta,GA,6733,Southern Baptist Convention
Fairfield Baptist Church,Lithonia,GA,2000,Baptist (unspecified)
Faith Christian Center,Smyrna,GA,2700,"Independent, Nondenominational"
Fellowship Bible Church,Roswell,GA,3500,Unknown (unspecified)
First Assembly of God,Griffin,GA,7780,Assemblies of God
First Baptist Church Jonesboro,Jonesboro,GA,2000,Southern Baptist Convention
First Baptist Church Snellville,Snellville,GA,4000,Southern Baptist Convention
First Baptist Church Woodstock,Woodstock,GA,6115,Southern Baptist Convention
First Baptist Church,Decatur,GA,2700,Southern Baptist Convention
First Baptist Church,Atlanta,GA,4931,Southern Baptist Convention
First Redeemer Church,Cumming,GA,3200,Southern Baptist Convention
Free Chapel Worship Center,Gainesville,GA,13568,"Independent, Nondenominational"
Gospel Tabernacle East,Stone Mountain,GA,2000,"Independent, Nondenominational"
Grace Fellowship Church,Snellville,GA,4000,"Independent, Nondenominational"
Greater Piney Grove Baptist Church,Atlanta,GA,4000,Baptist (unspecified)
Greater Travelers Rest Baptist Church,Decatur,GA,3000,Baptist (unspecified)
Greenforest Community Baptist Church,Decatur,GA,2300,Southern Baptist Convention
Harvest Church,Byron,GA,2109,United Methodist Church
Hebron Baptist Church,Dacula,GA,4266,Southern Baptist Convention
Hopewell Missionary Baptist,Norcross,GA,5000,Baptist (unspecified)
Ingleside Baptist Church,Macon,GA,2000,Baptist (unspecified)
Johnson Ferry Baptist Church,Marietta,GA,5000,Southern Baptist Convention
Korean Community Presbyterian Church,Duluth,GA,3000,Korean Presbyterian Church
Maranatha Adventist Church,Atlanta,GA,2100,Seventh-day Adventist
Mount Bethel United Methodist Church,Marietta,GA,2950,United Methodist Church
Victory for the World,Stone Mountain,GA,2000,"Independent, Nondenominational"
Victory World Church,Norcross,GA,8000,"Independent, Nondenominational"
Vineville Baptist Church,Macon,GA,2000,Unknown (unspecified)
Voices of Faith Ministries,Stone Mountain,GA,6900,Southern Baptist Convention
Warren Baptist Church,Augusta,GA,1800,Baptist (unspecified)
West Acres Baptist,Evans,GA,2000,Baptist (unspecified)
West Ridge Church,Dallas,GA,4800,Southern Baptist Convention
Wildwood Baptist Church,Acworth,GA,2500,Baptist General Conference
Word of Faith Family Worship Cathedral,Austell,GA,2000,"Independent, Nondenominational"
The Church at Chapel Hill,Douglasville,GA,2000,Assemblies of God
Passion City Church,Atlanta,GA,6500,"Independent, Nondenominational"
12Stone Church,Lawrenceville,GA,17000,Wesleyan
Antioch Baptist Church North,Atlanta,GA,4000,National Baptist Convention
Athens Church,Athens,GA,2000,Unknown (unspecified)
Atlanta Berean Church,Atlanta,GA,2500,Seventh-day Adventist
Avalon Church,McDonough,GA,1300,Southern Baptist Convention
Berean Christian Church,Stone Mountain,GA,7000,"Independent, Nondenominational"
Beulah Missionary Baptist Church,Decatur,GA,5000,Missionary Baptist
Beulahland Bible Church,Macon,GA,3500,"Independent, Nondenominational"
Blackshear Place Baptist Church,Flowery Branch,GA,2875,Southern Baptist Convention
Burnt Hickory Baptist Church,Powder Springs,GA,2065,Southern Baptist Convention
Calvary Chapel Stone Mountain,Lilburn,GA,2000,Calvary Churches
Cascade Hills Church,Columbus,GA,4420,Southern Baptist Convention
Cascade United Methodist Church,Atlanta,GA,1800,United Methodist Church
Cathedral At Chapel Hill,Decatur,GA,2000,"Independent, Nondenominational"
Church of the Apostles,Atlanta,GA,2500,Anglical
Community Bible Church,Stockbridge,GA,3200,"Independent, Nondenominational"
World Changers Church International,College Park,GA,15000,"Independent, Nondenominational"
Crossroads Baptist Church,Newnan,GA,2607,Southern Baptist Convention
Destiny Metropolitan Worship Church,Atlanta,GA,3600,"Independent, Nondenominational"
Divine Faith Ministries International,Duluth,GA,3300,"Independent, Nondenominational"
Eagle’s Landing First Baptist Church,Mc Donough,GA,2170,Southern Baptist Convention
Mount Ephraim Baptist Church,Atlanta,GA,5500,Baptist (unspecified)
Mount Paran Church of God North,Marietta,GA,2000,"Church of God, Cleveland"
Mount Paran Church of God,Atlanta,GA,4000,"Church of God, Cleveland"
Mount Pisgah United Methodist Church,Johns Creek,GA,2211,United Methodist Church
Mountain Lake Church,Cumming,GA,2500,"Independent, Nondenominational"
New Birth Church,Jonesboro,GA,5000,Baptist (unspecified)
New Hope Baptist Church,Fayetteville,GA,2200,Southern Baptist Convention
New Mercies Christian Church,Lilburn,GA,7000,CHRISTIAN
North Metro Church,Kennesaw,GA,3500,"Independent, Nondenominational"
North Metro First Baptist Church,Lawrenceville,GA,2285,Baptist (unspecified)
North Point Ministries,Alpharetta,GA,24273,"Independent, Nondenominational"
NorthStar Church,Kennesaw,GA,2000,Southern Baptist Convention
Oakwood Baptist Church,Chickamauga,GA,2415,Southern Baptist Convention
Oasis Family Life Church,Dallas,GA,2500,Unknown (unspecified)
Peace Baptist Church,Decatur,GA,1800,Baptist (unspecified)
Peachtree Presbyterian Church,Atlanta,GA,3171,"Presbyterian Church, U.S.A."
Perimeter Church,Duluth,GA,3900,Presbyterian Church of America
Ray of Hope Christian Church,Decatur,GA,2000,CHRISTIAN
Rock Bridge Community Church,Dalton,GA,2900,Southern Baptist Convention
Roswell Street Baptist Church,Marietta,GA,1850,Southern Baptist Convention
Roswell United Methodist Church,Roswell,GA,2100,United Methodist Church
Saint Paul Christian Methodist Episcopal,Savannah,GA,2500,Christian Methodist Episcopal
Saint Philip AME Church,Atlanta,GA,6000,African Methodist Episcopal
Salem Bible Church,Atlanta,GA,2000,Unknown (unspecified)
Salem Missionary Baptist Church,Lilburn,GA,1800,Baptist (unspecified)
Savannah Christian Church,Savannah,GA,7331,CHRISTIAN
Southside Baptist Church,Warner Robins,GA,2100,Southern Baptist Convention
Springfield Baptist Church,Conyers,GA,2000,Baptist (unspecified)
Overcoming by Faith,Savannah,GA,2000,Four Square
The Rock Ministries Inc.,Flowery Branch,GA,2000,"Independent, Nondenominational"
Total Grace Christian Center,Decatur,GA,3000,"Independent, Nondenominational"
Trinity Chapel Church of God,Powder Springs,GA,2100,"Church of God, Cleveland"
Turner Chapel Ame Church,Marietta,GA,4400,African Methodist Episcopal
Word of Life Christian Center,Honolulu,HI,5000,Unknown (unspecified)
First Assembly of God,Honolulu,HI,2400,Assemblies of God
King’s Cathedral Maui,Kahului,HI,5409,Assemblies of God
Hope Chapel Kapolei,Kapolei,HI,2500,Four Square
Hope Chapel,Kihei,HI,2000,Four Square
New Hope Oahu,Honolulu,HI,9000,Four Square
New Hope Leeward,Waipahu,HI,4358,Four Square
Calvary Chapel of Honolulu,Aiea,HI,1800,Calvary Churches
Faith Evangelical Free Church,Spirit Lake,IA,2500,Evangelical Free
First Assembly Cedar Rapids,Cedar Rapids,IA,2100,Assemblies of God
Third Reformed Church,Pella,IA,2000,Reformed Church in America
Valley Church,West Des Moines,IA,2000,Evangelical Free
Orchard Hill Church,Cedar Falls,IA,2000,Reformed Church in America
Point of Grace Church,Waukee,IA,2200,"Independent, Nondenominational"
Prairie Lakes Church,Cedar Falls,IA,2200,Baptist (unspecified)
Harvest Bible Chapel,Davenport,IA,2100,CHRISTIAN
Lutheran Church of Hope,West Des Moines,IA,10578,Evangelical Lutheran Church in America
Cornerstone Church,Ames,IA,2200,Southern Baptist Convention
Eagle Christian Church,Eagle,ID,2364,CHRISTIAN
Calvary Chapel Boise,Boise,ID,6000,Calvary Churches
Capital Christian Center,Meridian,ID,3000,"Independent, Nondenominational"
Vineyard Boise,Boise,ID,2200,Vineyard
Lake City Community Church,Coeur D Alene,ID,1925,Assemblies of God
Real Life Ministries,Post Falls,ID,7001,CHRISTIAN
New Faith Baptist Church International,Matteson,IL,4900,Southern Baptist Convention
New Life Community Church,Chicago,IL,3900,Unknown (unspecified)
New Life Covenant Ministries,Chicago,IL,12994,Assemblies of God
New Life Covenant Oakwood Church Southeast,Chicago,IL,10000,"Independent, Nondenominational"
Northwoods Community Church,Peoria,IL,3800,MEN
Park Community Church,Chicago,IL,2500,"Independent, Nondenominational"
Parkview Christian Church,Orland Park,IL,7093,CHRISTIAN
Rock Church,Rockford,IL,5000,Unknown (unspecified)
Rock of Ages Baptist Church,Maywood,IL,3000,Baptist (unspecified)
Abundant Faith Christian Center,Springfield,IL,2900,Unknown (unspecified)
All Nations Community Church,Homewood,IL,2000,"Independent, Nondenominational"
Apostolic Church of God,Chicago,IL,8000,Pentecostal Assemblies of the World
Apostolic Faith Church,Chicago,IL,2000,Pentecostal Assemblies of the World
Broadview Missionary Baptist Church,Broadview,IL,2500,Baptist (unspecified)
Calvary Church,Naperville,IL,7070,Assemblies of God
Calvary Temple,Springfield,IL,2500,Assemblies of God
Eastview Christian Church,Normal,IL,4730,CHRISTIAN
Evangelical Free Church of Bloomington,Bloomington,IL,2500,Evangelical Free
Family Harvest Church,Tinley Park,IL,2500,"Independent, Nondenominational"
Fellowship Missionary Baptist Church,Chicago,IL,3100,Baptist (unspecified)
Central Christian Church,Mt Vernon,IL,1833,CHRISTIAN
Chicago Church of Christ,Elmhurst,IL,2500,International Church of Christ
Christ Church of Oak Brook,Oak Brook,IL,2600,"Independent, Nondenominational"
Christ Community Church,Saint Charles,IL,4500,Unknown (unspecified)
Christ Universal Temple,Chicago,IL,3200,"Independent, Nondenominational"
College Church,Wheaton,IL,2000,"Independent, Nondenominational"
Community Christian Church,Naperville,IL,5325,CHRISTIAN
Crossroads Community Church,Freeport,IL,2953,Assemblies of God
Victory Cathedral Worship Center,Bolingbrook,IL,4000,Unknown (unspecified)
Village Church of Gurnee,Gurnee,IL,2000,Unknown (unspecified)
West Side Christian Church,Springfield,IL,2175,CHRISTIAN
Wheaton Bible Church,West Chicago,IL,2500,"Independent, Nondenominational"
Willow Creek Community Church,South Barrington,IL,9000,"Independent, Nondenominational"
Rockford First,Rockford,IL,3184,Assemblies of God
Christ Church,Fairview Heights,IL,2100,United Methodist Church
Salem Baptist Church,Chicago,IL,9000,Baptist (unspecified)
Sweet Holy Spirit Full Gospel Baptist Church,Chicago,IL,4000,Baptist (unspecified)
The Chapel,Libertyville,IL,6010,"Independent, Nondenominational"
The Compass Church,Naperville,IL,2250,Evangelical Free
The Crossing,Quincy,IL,5484,CHRISTIAN
The Moody Church,Chicago,IL,2400,"Independent, Nondenominational"
The Orchard Evangelical Free Church,Arlington Heights,IL,2500,Evangelical Free
The Vineyard Church,Urbana,IL,2800,Vineyard
Trinity United Church of Christ,Chicago,IL,7500,United Church of Christ
Valley Kingdom Ministries International,South Holland,IL,3400,"Independent, Nondenominational"
Gracepointe Church,Naperville,IL,2000,"Independent, Nondenominational"
Harvest Bible Chapel,Naperville,IL,2500,"Independent, Nondenominational"
Harvest Bible Chapel,Rolling Meadows,IL,13916,CHRISTIAN
Heartland Community Church,Rockford,IL,7274,Unknown (unspecified)
Heritage Church,Rock Island,IL,2600,Wesleyan
Highland Avenue Church of the Brethren,Elgin,IL,2500,Brethren
Iglesia De Dios Pentecostal,Chicago,IL,6000,Pentecostal (unspecified)
Life Changers International Church,Hoffman Estates,IL,3000,"Independent, Nondenominational"
Lighthouse Church of All Nations,Alsip,IL,2000,Unknown (unspecified)
Living Word Christian Center,Forest Park,IL,4500,"Independent, Nondenominational"
Logos Baptist Assembly,Chicago,IL,2200,Baptist (unspecified)
Granger Community Church,Granger,IN,5169,United Methodist Church
Heartland Church,Indianapolis,IN,2000,"Independent, Nondenominational"
Indian Creek Christian Church,Indianapolis,IN,4532,CHRISTIAN
Kingsway Christian Church,Avon,IN,2549,CHRISTIAN
Lakeview Christian Center,Indianapolis,IN,2000,Assemblies of God
Liberty Bible Church,Chesterton,IN,1800,Evangelical Free
Madison Park Church of God,Anderson,IN,2000,"Church of God, Cleveland"
Eastern Star Church,Indianapolis,IN,3748,National Baptist Convention
Emmanuel Church of Greenwood,Greenwood,IN,2500,Baptist (unspecified)
Faith Church,Dyer,IN,3500,Reformed Church in America
Family Christian Center,Munster,IN,15540,"Independent, Nondenominational"
Fellowship Missionary Church,Fort Wayne,IN,2300,Unknown (unspecified)
First Assembly,Fort Wayne,IN,1800,Assemblies of God
First Baptist Church,Hammond,IN,13426,Baptist (unspecified)
Grace Community Church,Noblesville,IN,5000,Evangelical Free
Mount Olive Missionary Baptist Church,Indianapolis,IN,2500,Missionary Baptist
Mount Pleasant Christian Church,Greenwood,IN,3232,CHRISTIAN
Nappanee Missionary Church,Nappanee,IN,3000,Unknown (unspecified)
New Beginnings Fellowship Church,Indianapolis,IN,3000,"Independent, Nondenominational"
New Life Worship Center,Indianapolis,IN,2250,"Independent, Nondenominational"
Northside Christian Church,New Albany,IN,5006,CHRISTIAN
Northview Church,Carmel,IN,6595,"Independent, Nondenominational"
Pathway Community Church,Fort Wayne,IN,3000,"Independent, Nondenominational"
Plainfield Christian Church,Plainfield,IN,1956,CHRISTIAN
Bethel Church,Crown Point,IN,2500,General Baptist Association
Bethel Temple Community Church,Evansville,IN,2000,"Independent, Nondenominational"
Blackhawk Baptist Church,Fort Wayne,IN,2000,Baptist General Conference
Calvary Tabernacle,Indianapolis,IN,3000,United Pentecostal Church International
Calvary Temple,Indianapolis,IN,2100,United Pentecostal Church
Saint Luke’s United Methodist Church,Indianapolis,IN,3108,United Methodist Church
Sherwood Oaks Christian Church,Bloomington,IN,2588,CHRISTIAN
The Bridge Community Church,Decatur,IN,2000,"Independent, Nondenominational"
The Chapel,Fort Wayne,IN,2700,"Independent, Nondenominational"
Traders Point Christian Church,Indianapolis,IN,4265,CHRISTIAN
Christ Gospel Church,Jeffersonville,IN,2500,"Independent, Nondenominational"
Christian Fellowship Church,Evansville,IN,3200,"Independent, Nondenominational"
College Park Church,Indianapolis,IN,3800,"Independent, Nondenominational"
Concordia Lutheran Church,Fort Wayne,IN,1800,Lutheran (unspecified)
Connection Pointe Christian Church,Brownsburg,IN,3546,CHRISTIAN
Crossroads Christian Church,Evansville,IN,3550,CHRISTIAN
Crossroads Community Church,Kokomo,IN,2700,Unknown (unspecified)
East 91st Street Christian Church,Indianapolis,IN,3832,CHRISTIAN
Warsaw Community Church,Warsaw,IN,3500,Brethren
White River Christian Church,Noblesville,IN,2290,CHRISTIAN
Memorial Baptist Church,Evansville,IN,2000,Baptist (unspecified)
Westside Family Church,Lenexa,KS,5100,Southern Baptist Convention
NewSpring Church,Wichita,KS,2000,Unknown (unspecified)
Olathe Bible Church,Olathe,KS,2200,Unknown (unspecified)
Pathway Church,Wichita,KS,3012,CHRISTIAN
Heartland Community Church,Olathe,KS,2000,Evangelical Presbyterian Church
Lenexa Christian Center,Shawnee Mission,KS,3000,Assemblies of God
Central Christian Church,Wichita,KS,3245,CHRISTIAN
Central Community Church,Wichita,KS,2100,"Church of God, Anderson"
College Church of the Nazarene,Olathe,KS,2174,Church of the Nazarene
Church of the Resurrection,Leawood,KS,8000,United Methodist Church
Saint Matthews Baptist Church,Louisville,KY,8300,Southern Baptist Convention
Saint Stephen Church,Louisville,KY,4000,"Independent, Nondenominational"
Seven Hills Church,Florence,KY,3000,Unknown (unspecified)
Sojourn Community Church,Louisville,KY,3476,Unknown (unspecified)
Southeast Christian Church,Louisville,KY,25917,CHRISTIAN
Southland Christian Church,Nicholasville,KY,12524,CHRISTIAN
Valley View Church,Louisville,KY,2497,Southern Baptist Convention
Northeast Christian Church,Louisville,KY,2652,CHRISTIAN
Owensboro Christian Church,Owensboro,KY,2052,CHRISTIAN
Quest Community Church,Lexington,KY,3400,Unknown (unspecified)
Evangel World Prayer Center,Louisville,KY,4800,Assemblies of God
First Church of Christ,Burlington,KY,2506,CHRISTIAN
Crossroads Christian Church,Lexington,KY,2570,"Independent, Nondenominational"
Bates Memorial Baptist Church,Louisville,KY,3000,Southern Baptist Convention
Canaan Christian Church,Louisville,KY,2500,Baptist (unspecified)
Heartland Worship Center,Paducah,KY,1800,Unknown (unspecified)
Highview Baptist Church,Louisville,KY,3254,Southern Baptist Convention
Hillvue Heights Church,Bowling Green,KY,4825,Southern Baptist Convention
Immanuel Baptist Church,Lexington,KY,2000,Southern Baptist Convention
Living Hope Baptist Church,Bowling Green,KY,2100,Southern Baptist Convention
Greater Saint Stephen Full Gospel Baptist,New Orleans,LA,10000,Baptist (unspecified)
Healing Place Church,Baton Rouge,LA,7200,"Independent, Nondenominational"
Life Center Ministries,New Orleans,LA,6500,Unknown (unspecified)
Living Faith Christian Center,Baton Rouge,LA,4750,"Independent, Nondenominational"
Pentecostals of Alexandria,Alexandria,LA,2800,United Pentecostal Church International
Word of Life Center,Shreveport,LA,2500,"Independent, Nondenominational"
Victory Fellowship,Metairie,LA,2000,Assemblies of God
Saint Timothy Northshore United Methodist,Mandeville,LA,1973,United Methodist Church
The Pentecostals,West Monroe,LA,2050,United Pentecostal Church International
The Simple Church,Bossier City,LA,5000,"Independent, Nondenominational"
The Vineyard Church,Kenner,LA,2000,Vineyard
Our Savior�s Church,Lafayette,LA,4600,"Independent, Nondenominational"
Bethany World Prayer Center,Baker,LA,8000,"Independent, Nondenominational"
Broadmoor Baptist Church,Shreveport,LA,2300,Southern Baptist Convention
Family Worship Center,Baton Rouge,LA,4000,Unknown (unspecified)
First Baptist Church,Covington,LA,1800,Southern Baptist Convention
First Baptist Church,Bossier City,LA,2100,Southern Baptist Convention
First Baptist Lafayette,Lafayette,LA,4000,Southern Baptist Convention
First Baptist West Monroe,West Monroe,LA,2402,Southern Baptist Convention
Franklin Avenue Baptist Church,New Orleans,LA,4000,Southern Baptist Convention
Glad Tidings Assembly of God,Lake Charles,LA,2689,Assemblies of God
Celebration Church,Metairie,LA,3260,Southern Baptist Convention
Church of the King,Mandeville,LA,5000,Unknown (unspecified)
Crossroads Church,Lafayette,LA,2400,Assemblies of God
East Bayou Baptist Church,Lafayette,LA,2250,Southern Baptist Convention
Church of the Larger Fellowship,Boston,MA,2500,UUA
Jubilee Christian Church,Mattapan,MA,7000,"Church of God, Anderson"
Liberty Churches,Shrewsbury,MA,2100,Assemblies of God
Morning Star Baptist Church,Mattapan,MA,2100,Baptist (unspecified)
Park Street Church,Boston,MA,2000,Unknown (unspecified)
Grace Chapel,Lexington,MA,3000,"Independent, Nondenominational"
Boston Church of Christ,Waltham,MA,2200,ICOC
Calvary Chapel of Boston,Rockland,MA,3700,Calvary Churches
Calvary Temple,Winnipeg,MB,2000,"Independent, Nondenominational"
Church of the Rock,Winnipeg,MB,2500,"Independent, Nondenominational"
Springs Church,Winnipeg,MB,7500,Unknown (unspecified)
The Meeting Place,Winnipeg,MB,5000,MEN
Sligo Seventh Day Adventist,Tacoma Park,MD,2000,Seventh-day Adventist
Soul Factory,Forestville,MD,5000,"Independent, Nondenominational"
Southern Baptist Church,Baltimore,MD,2500,Southern Baptist Convention
Spirit of Faith Christian Center,Temple Hills,MD,5000,Unknown (unspecified)
The Sanctuary,Capitol Heights,MD,3400,"Independent, Nondenominational"
Woodstream Church,Mitchellville,MD,2000,Baptist (unspecified)
Zion Church,Largo,MD,3000,"Independent, Nondenominational"
Bridgeway Community Church,Columbia,MD,3500,"Independent, Nondenominational"
Greater Grace Church,Baltimore,MD,2000,"Independent, Nondenominational"
Grace Fellowship Church,Timonium,MD,3000,"Independent, Nondenominational"
Immanuel’s Church,Silver Spring,MD,4500,"Independent, Nondenominational"
LifePoint Church,Reisterstown,MD,2000,Unknown (unspecified)
Ark of Safety Christian Church,Upper Marlboro,MD,2000,"Independent, Nondenominational"
Bethel African Methodist Episcopal Church,Baltimore,MD,2000,African Methodist Episcopal
Bethel World Outreach Church,Silver Spring,MD,2000,Unknown (unspecified)
Cedar Ridge Community Church,Spencerville,MD,2000,Unknown (unspecified)
Celebration Church,Columbia,MD,2500,"Church of God, Cleveland"
Church of the Open Door,Westminster,MD,2700,Baptist (unspecified)
Church of the Redeemed of the Lord,Baltimore,MD,2500,Unknown (unspecified)
Church of the Redeemer,Gaithersburg,MD,9407,"Independent, Nondenominational"
Covenant Life,Gathersburg,MD,3300,"Independent, Nondenominational"
Ebenezer African Methodist Episcopal,Fort Washington,MD,7000,African Methodist Episcopal
Empowerment Temple,Baltimore,MD,7000,Unknown (unspecified)
Evangel Cathedral,Upper Marlboro,MD,4000,"Church of God, Cleveland"
First Baptist Church of Glenarden,Landover,MD,12000,Baptist General Conference
First Baptist Church of Guilford,Colombia,MD,2000,Southern Baptist Convention
First Mount Olive Freewill Baptist Church,Randallstown,MD,2500,Baptist (unspecified)
Fourth Presbyterian Church,Bethesda,MD,1800,Evangelical Presbyterian Church
From the Heart Church Ministries,Temple Hills,MD,7000,"Independent, Nondenominational"
Global Mission Church of Greater Washington,Silver Spring,MD,3000,Southern Baptist Convention
Grace Community Church,Fulton,MD,2700,"Independent, Nondenominational"
Mount Ennon Baptist Church,Clinton,MD,5000,Baptist (unspecified)
Mount Pleasant Church And Ministries,Baltimore,MD,8000,"Independent, Nondenominational"
Mountain Christian Church,Joppa,MD,4270,CHRISTIAN
National Church of God,Fort Washington,MD,2500,"Church of God, Cleveland"
New Psalmist Baptist Church,Baltimore,MD,6000,Baptist (unspecified)
New Shiloh Baptist Church,Baltimore,MD,2000,Unknown (unspecified)
Mount Hope Church,Lansing,MI,4300,Assemblies of God
Mount Zion,Clarkston,MI,6000,"Independent, Nondenominational"
New Prospect Missionary Baptist Church,Detroit,MI,2000,National Baptist Convention
New Saint Paul Tabernacle Church,Detroit,MI,2300,Church of God in Christ
NorthRidge Church,Plymouth,MI,9655,"Independent, Nondenominational"
Oak Pointe Church,Novi,MI,3000,"Independent, Nondenominational"
Perfecting Church,Detroit,MI,4500,"Independent, Nondenominational"
Pioneer Memorial Church,Berrien Springs,MI,2500,Seventh-day Adventist
Resurrection Life Church,Grandville,MI,7000,"Independent, Nondenominational"
Riverview Church,Holt,MI,2400,Unknown (unspecified)
Saint Lorenz Lutheran Church,Frankenmuth,MI,1800,Lutheran (unspecified)
Grand Rapids First Assembly of God,Grand Rapids,MI,2400,Assemblies of God
Greater Grace Temple,Detroit,MI,8000,Unknown (unspecified)
Hartford Memorial Baptist Church,Detroit,MI,5000,Baptist (unspecified)
Kensington Community Church,Troy,MI,11000,Unknown (unspecified)
Kentwood Community Church,Kentwood,MI,2581,Wesleyan
Mars Hill Bible Church,Grandville,MI,12000,"Independent, Nondenominational"
Second Ebenezer Church,Detroit,MI,2000,Unknown (unspecified)
Straight Gate International Church,Detroit,MI,2000,"Independent, Nondenominational"
Trinity Church,Lansing,MI,3500,Unknown (unspecified)
Triumph Church,Detroit,MI,14000,"Independent, Nondenominational"
Valley Family Church,Kalamazoo,MI,3000,"Independent, Nondenominational"
Ward Evangelical Presbyterian Church,Northville,MI,2300,Evangelical Presbyterian Church
Woodside Bible Church,Troy,MI,7174,Unknown (unspecified)
Word of Faith International Christian Center,Southfield,MI,11000,"Independent, Nondenominational"
Fair Haven Ministries,Hudsonville,MI,2000,Reformed Church in America
Faith Baptist Church of Waterford,Waterford,MI,5600,Baptist (unspecified)
Faith Lutheran Church,Troy,MI,2000,Lutheran (unspecified)
